datum;s2_datenverlust_%;s1_otsu_dB;ndwi_otsu;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;Pegelstand
2016-01;78,6;-19,1;0,129;74,519;19,397;18,669;75,247;74,519;517,783
2016-02;100;-18,46;0,2;75,447;0;0;75,447;75,447;518,212069
2016-03;64,9;-19,18;0,233;75,195;34,385;34,305;75,276;75,195;518,0858065
2016-04;53,6;-20,07;0,2;75,082;72,19;71,33;75,941;75,082;518,237
2016-05;52,9;-18,5;0,369;75,215;20,726;20,383;75,558;75,215;518,3306452
2016-06;55,6;-19,14;0,49;74,975;42,05;41,6;75,425;74,975;518,4966667
2016-07;51,2;-17,93;0,417;75,184;57,662;57,372;75,474;75,184;518,3958065
2016-08;51,2;-19,5;0,113;74,985;75,453;74,739;75,7;74,985;518,3764516
2016-09;56,6;-19,49;0,395;74,825;25,981;25,846;74,96;74,825;518,105
2016-10;51,1;-19,03;0,105;74,869;75,091;74,534;75,426;74,869;517,9732258
2016-11;58,6;-19,32;0,132;74,871;12,673;12,395;75,149;74,871;517,959
2016-12;67,9;-20,11;0,184;74,47;8,533;8,427;74,575;74,47;517,8154839
2017-01;100;-20,09;0,2;73,631;0;0;73,631;73,631;517,7154839
2017-02;54,6;-20,31;0,401;74,496;24,462;23,933;75,026;74,496;517,8817857
2017-03;51,2;-19,87;0,2;75,347;75,87;75,079;76,139;75,347;518,2990323
2017-04;51,2;-19,11;0,432;75,284;57,208;57,056;75,436;75,284;518,1663333
2017-05;51,2;-19,22;0,172;75,107;75,722;74,959;75,87;75,107;518,3512903
2017-06;51,2;-18,12;0,413;74,832;35,948;35,656;75,124;74,832;517,9766667
2017-07;51,2;-18,57;0,2;74,93;75,145;74,55;75,525;74,93;518,1545161
2017-08;51,5;-18,89;0,106;75,078;67,075;66,579;75,575;75,078;518,3748387
2017-09;51,3;-19;0,291;75,118;62,122;61,79;75,45;75,118;518,4103333
2017-10;51,5;-18,65;0,402;75,125;24,64;24,413;75,352;75,125;518,1977419
2017-11;68,4;-18,57;0,416;75,271;27,142;26,99;75,423;75,271;518,2586667
2017-12;54;-18,91;0,387;75,218;5,835;5,795;75,257;75,218;518,1032258
2018-01;53,9;-18,97;0,301;75,423;42,438;42,101;75,761;75,423;518,3074194
2018-02;51,8;-18,6;0,328;75,291;66,512;66,338;75,465;75,291;518,09
2018-03;51,1;-20,04;0,2;75,004;75,096;74,363;75,737;75,004;518,0058065
2018-04;52,3;-20,33;0,491;75,239;44,745;44,516;75,468;75,239;518,3306667
2018-05;51,4;-19,71;0,2;74,94;75,047;74,239;75,748;74,94;518,1870968
2018-06;51,7;-19,51;0,2;74,791;73,746;73,173;75,365;74,791;518,0583333
2018-07;51,2;-20,15;0,186;74,775;75,195;74,377;75,593;74,775;518,2145161
2018-08;51,1;-20,18;0,225;74,536;74,853;74,168;75,221;74,536;517,9616129
