datum;Pegelstand
2016-01;517,783
2016-02;518,212069
2016-03;518,0858065
2016-04;518,237
2016-05;518,3306452
2016-06;518,4966667
2016-07;518,3958065
2016-08;518,3764516
2016-09;518,105
2016-10;517,9732258
2016-11;517,959
2016-12;517,8154839
2017-01;517,7154839
2017-02;517,8817857
2017-03;518,2990323
2017-04;518,1663333
2017-05;518,3512903
2017-06;517,9766667
2017-07;518,1545161
2017-08;518,3748387
2017-09;518,4103333
2017-10;518,1977419
2017-11;518,2586667
2017-12;518,1032258
2018-01;518,3074194
2018-02;518,09
2018-03;518,0058065
2018-04;518,3306667
2018-05;518,1870968
2018-06;518,0583333
2018-07;518,2145161
2018-08;517,9616129
2018-09;518,1183333
2018-10;517,9741935
2018-11;517,871
2018-12;517,9651613
2019-01;518,2248387
2019-02;518,0307143
2019-03;518,4403226
2019-04;518,504
2019-05;518,716129
2019-06;518,5773333
2019-07;518,0435484
2019-08;518,1151613
2019-09;518,0293333
2019-10;518,0916129
2019-11;518,097
2019-12;518,0022581
2020-01;518,2248387
2020-02;518,0307143
2020-03;518,4403226
2020-04;518,504
2020-05;518,716129
2020-06;518,5773333
2020-07;518,0435484
2020-08;518,1151613
2020-09;518,0293333
2020-10;518,0916129
2020-11;518,097
2020-12;518,0022581
2021-01;517,7690323
2021-02;517,9978571
2021-03;517,9596774
2021-04;518,064
2021-05;518,2441935
2021-06;518,1613333
2021-07;518,2845161
2021-08;518,5432258
2021-09;518,5766667
2021-10;518,1580645
2021-11;517,9626667
2021-12;517,9190323
2022-01;518,0887097
2022-02;518,0225
2022-03;518,0025806
2022-04;518,2023333
2022-05;518,1848387
2022-06;518,255
2022-07;518,1716129
2022-08;518,0896774
2022-09;518,1886667
2022-10;518,3448387
2022-11;518,0486667
2022-12;517,9680645
2023-01;517,9490323
2023-02;517,88
2023-03;518,0096774
2023-04;518,3203333
2023-05;518,6719355
2023-06;518,1043333
2023-07;517,9422581
2023-08;518,206129
2023-09;518,149
2023-10;517,8054839
2023-11;518,1823333
2023-12;518,4667742
2024-01;518,2267742
2024-02;518,2193103
2024-03;518,1016129
2024-04;518,148
2024-05;518,1993548
2024-06;518,6376667
2024-07;518,3351613
2024-08;518,3077419
2024-09;518,7146667
2024-10;518,6174194
2024-11;518,0616667
2024-12;517,9716129
2025-01;517,9193548
2025-02;517,8264286
2025-03;517,7967742
2025-04;517,964
2025-05;517,9164516
2025-06;518,011
2025-07;518,1887097
2025-08;518,5909677
2025-09;518,193
2025-10;518,0958065
2025-11;517,9863333
2025-12;517,9196774
