datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2016-01;56,2;-19,16;ok;0,129;ok;S1;74,512;19,397;18,667;75,242;74,512;0,8386;15,3964;15,2414;0,8979;0,8386;1,2;1,1
2016-02;100,0;-21,44;ok;;zu_wenig_pixel;S1;42,819;;;42,819;42,819;22,6488;;;22,6488;22,6488;52,9;52,9
2016-03;28,3;-19,34;ok;0,233;ok;S2+S1;75,132;34,385;34,285;75,233;55,434;0,884;3,4883;3,5228;0,8333;4,6976;1,1;8,5
2016-04;5,1;-20,0;ok;0,676;unplausibel;S1;75,161;22,378;22,203;75,335;75,161;0,7881;5,0789;5,0386;0,7928;0,7881;1,1;1,0
2016-05;3,7;-18,58;ok;0,369;ok;S2+S1;75,202;20,726;20,376;75,552;23,382;0,8069;3,3515;3,3201;0,8077;3,4117;1,1;14,6
2016-06;9,2;-19,26;ok;0,483;ok;S2+S1;74,968;43,702;43,232;75,438;50,58;0,8229;7,9726;7,8862;0,835;7,6142;1,1;15,1
2016-07;0,2;-18,2;ok;0,292;ok;S2+S1;75,104;71,841;71,341;75,604;71,877;0,9411;2,3363;2,4302;0,8158;2,3464;1,1;3,3
2016-08;0,2;-19,4;ok;0,11;ok;S2+S1;75,038;75,448;74,774;75,713;75,485;0,8261;0,8649;0,8639;0,8088;0,8677;1,1;1,1
2016-09;11,2;-19,51;ok;0,395;ok;S2+S1;74,856;25,981;25,851;74,987;34,09;0,8285;5,3754;5,3599;0,8237;5,7276;1,1;16,8
2016-10;0,0;-19,07;ok;0,105;ok;S2+S1;74,884;75,091;74,545;75,429;75,097;0,8105;0,9679;0,9334;0,8277;0,9468;1,1;1,3
2016-11;15,2;-19,32;ok;0,132;ok;S2+S1;74,888;12,673;12,397;75,164;24,098;0,8021;6,6606;6,6039;0,822;7,0609;1,1;29,3
2016-12;34,4;-20,06;ok;0,184;ok;S2+S1;74,491;8,511;8,405;74,596;34,518;0,8167;5,0955;5,0579;0,8282;5,9871;1,1;17,3
2017-01;100,0;-20,55;ok;;zu_wenig_pixel;S1;72,932;;;72,932;72,932;1,851;;;1,851;1,851;2,5;2,5
2017-02;7,1;-20,27;ok;0,401;ok;S2+S1;74,508;24,462;23,942;75,028;29,825;0,886;5,4019;5,3569;0,8865;5,682;1,2;19,1
2017-03;0,2;-20,16;ok;0,605;unplausibel;S1;75,31;38,678;38,416;75,571;75,31;0,7698;5,0135;4,9785;0,7769;0,7698;1,0;1,0
2017-04;0,3;-19,1;ok;0,257;ok;S2+S1;75,302;74,995;74,565;75,732;75,02;0,7869;1,1761;1,1498;0,7986;1,1828;1,1;1,6
2017-05;0,2;-19,61;ok;0,172;ok;S2+S1;75,069;75,722;74,927;75,864;75,749;0,7953;0,8505;0,8515;0,7841;0,8544;1,0;1,1
2017-06;0,2;-18,28;ok;0,433;ok;S2+S1;74,8;31,236;30,972;75,063;31,287;0,8347;6,6735;6,6521;0,8372;6,7054;1,1;21,4
2017-07;0,3;-18,92;ok;0,509;unplausibel;S1;74,872;64,346;64,115;75,102;74,872;0,8244;4,1534;4,1335;0,8192;0,8244;1,1;1,1
2017-08;0,8;-19,07;ok;0,221;ok;S2+S1;75,062;47,327;47,006;75,383;47,732;0,7997;5,3975;5,3595;0,804;5,5391;1,1;11,6
2017-09;0,5;-19,25;ok;0,284;ok;S2+S1;75,086;63,53;63,162;75,454;63,858;0,8092;5,0971;5,0661;0,8137;5,06;1,1;7,9
2017-10;0,8;-18,84;ok;0,387;ok;S2+S1;75,106;27,222;26,968;75,36;27,853;0,7805;8,8114;8,7869;0,7816;8,3503;1,0;30,0
2017-11;35,4;-18,72;ok;0,416;ok;S2+S1;75,244;27,142;26,979;75,408;54,058;0,7723;7,3688;7,3239;0,7849;5,7054;1,0;10,6
2017-12;5,9;-18,82;ok;0,387;ok;S2+S1;75,23;5,835;5,793;75,271;10,327;0,7893;3,3387;3,3219;0,7949;1,4434;1,1;14,0
2018-01;5,7;-19,24;ok;0,301;ok;S2+S1;75,381;42,946;42,571;75,756;47,338;0,7719;18,1625;18,0575;0,8115;17,9759;1,1;38,0
2018-02;1,3;-18,75;ok;0,323;ok;S2+S1;75,265;67,322;67,133;75,455;67,714;0,788;3,1065;3,0688;0,8017;3,2426;1,1;4,8
2018-03;0,0;-20,11;ok;0,516;unplausibel;S1;74,993;24,64;24,418;75,215;74,993;0,7994;6,0558;6,023;0,8104;0,7994;1,1;1,1
