datum;Pegelh�
2016-01;188,9677419
2016-02;216,4827586
2016-03;221
2016-04;221,2
2016-05;219,9354839
2016-06;224,6666667
2016-07;239,0967742
2016-08;217,4193548
2016-09;210,9333333
2016-10;204,7741935
2016-11;182,9333333
2016-12;180,1612903
2017-01;182,7741935
2017-02;184,0714286
2017-03;220,8709677
2017-04;219,0333333
2017-05;217,9677419
2017-06;210,9333333
2017-07;207,5483871
2017-08;208,8709677
2017-09;208,7333333
2017-10;208,2580645
2017-11;195
2017-12;209,5806452
2018-01;225
2018-02;208,9285714
2018-03;215,5806452
2018-04;220,7
2018-05;216,4516129
2018-06;209,6
2018-07;195,8709677
2018-08;181,2903226
2018-09;170,4333333
2018-10;166,3548387
2018-11;167,4
2018-12;178,6774194
2019-01;186,2258065
2019-02;181,3571429
2019-03;210,0322581
2019-04;220,2333333
2019-05;216,1612903
2019-06;209,4
2019-07;194,5483871
2019-08;185,2580645
2019-09;180,4666667
2019-10;194,3548387
2019-11;188,7666667
2019-12;194,3548387
2020-01;195,6129032
2020-02;229,2413793
2020-03;247,8387097
2020-04;232,0666667
2020-05;224,7741935
2020-06;224,7666667
2020-07;225,2580645
2020-08;214,5806452
2020-09;199,5333333
2020-10;193,3225806
2020-11;179,7
2020-12;180,1935484
2021-01;194,9354839
2021-02;213,25
2021-03;227,1935484
2021-04;226,9333333
2021-05;224,0967742
2021-06;219,3
2021-07;216,6451613
2021-08;210,7419355
2021-09;207,5666667
2021-10;189,0645161
2021-11;180,1333333
2021-12;182,6774194
2022-01;186,3225806
2022-02;204,2857143
2022-03;221,2903226
2022-04;222,4333333
2022-05;219,3548387
2022-06;213,4333333
2022-07;204
2022-08;195,9032258
2022-09;183,1
2022-10;180,7741935
2022-11;178,4
2022-12;181,7741935
2023-01;203,3548387
2023-02;209,7857143
2023-03;225,0967742
2023-04;225,7666667
2023-05;224,4193548
2023-06;213,8666667
2023-07;204,3225806
2023-08;211,4516129
2023-09;203,8
2023-10;202,2258065
2023-11;224,9666667
2023-12;238,9677419
2024-01;240,9354839
2024-02;222,4137931
2024-03;218,5806452
2024-04;225,9666667
2024-05;221,1612903
2024-06;223,9666667
2024-07;222,5806452
2024-08;222,1935484
2024-09;216,2333333
2024-10;200,8064516
2024-11;185,7333333
2024-12;188
2025-01;
2025-02;
2025-03;
2025-04;
2025-05;
2025-06;
2025-07;
2025-08;
2025-09;
2025-10;
2025-11;
2025-12;
