datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2016-01;2,0;-18,65;ok;0,382;ok;S2+S1;12,904;12,195;12,161;12,938;12,228;0,2829;0,4547;0,5332;0,1963;0,4821;1,5;3,9
2016-02;100,0;-17,73;ok;;zu_wenig_pixel;S1;13,012;;;13,012;13,012;0,2041;;;0,2041;0,2041;1,6;1,6
2016-03;3,4;-19,1;ok;0,25;ok;S2+S1;12,97;8,446;8,437;12,978;8,826;0,1913;1,1092;1,1087;0,1898;1,1645;1,5;13,2
2016-04;97,2;-18,45;ok;0,137;ok;S1;12,963;0,287;0,287;12,963;12,963;0,1901;0,069;0,069;0,1901;0,1901;1,5;1,5
2016-05;1,6;-19,4;ok;0,104;ok;S2+S1;12,917;11,894;11,861;12,949;11,992;0,1873;0,3983;0,3967;0,185;0,4492;1,4;3,7
2016-06;1,4;-20,3;ok;-0,072;ok;S2+S1;12,804;12,683;12,564;12,923;12,808;0,2163;0,2266;0,216;0,2198;0,227;1,7;1,8
2016-07;1,1;-20,25;ok;-0,086;ok;S2+S1;12,768;12,756;12,607;12,917;12,85;0,2158;0,2336;0,2257;0,2177;0,2224;1,7;1,7
2016-08;53,0;-19,54;ok;0,177;ok;S1;12,828;5,491;5,457;12,862;12,828;0,2278;0,1506;0,1507;0,2268;0,2278;1,8;1,8
2016-09;0,0;-19,66;ok;-0,039;ok;S2+S1;12,926;12,867;12,76;13,033;12,867;0,1915;0,2011;0,1985;0,193;0,2011;1,5;1,6
2016-10;32,6;-19,84;ok;0,306;ok;S2+S1;12,92;6,996;6,974;12,942;11,133;0,1839;0,4096;0,4042;0,1863;0,5697;1,4;5,1
2016-11;41,8;-18,89;ok;0,268;ok;S2+S1;12,929;5,632;5,629;12,932;10,881;0,1868;0,7446;0,7431;0,186;0,9845;1,4;9,0
2016-12;2,6;-18,95;ok;0,441;ok;S2+S1;12,916;8,999;8,99;12,925;9,332;0,1851;1,189;1,1845;0,1846;1,0059;1,4;10,8
2017-01;98,9;-19,59;ok;0,002;ok;S1;12,914;0,066;0,065;12,915;12,914;0,1901;0,0505;0,0498;0,1905;0,1901;1,5;1,5
2017-02;0,2;-18,34;ok;0,28;ok;S2+S1;12,978;12,222;12,202;12,998;12,245;0,1851;0,4563;0,455;0,1838;0,3843;1,4;3,1
2017-03;99,5;-19,0;ok;0,207;ok;S1;12,977;0,042;0,042;12,977;12,977;0,1881;0,0182;0,0182;0,1881;0,1881;1,4;1,4
2017-04;0,3;-19,04;ok;0,337;ok;S2+S1;12,942;5,41;5,405;12,946;5,42;0,1851;0,7437;0,7424;0,1851;0,7532;1,4;13,9
2017-05;6,6;-19,68;ok;0,22;ok;S2+S1;12,919;3,008;3,0;12,927;3,768;0,1831;0,6723;0,6684;0,1847;0,8584;1,4;22,8
2017-06;0,7;-19,51;ok;-0,079;ok;S2+S1;12,816;12,767;12,641;12,941;12,813;0,2139;0,2192;0,2071;0,2218;0,2135;1,7;1,7
2017-07;1,1;-19,3;ok;-0,083;ok;S2+S1;12,816;12,688;12,6;12,904;12,789;0,2122;0,2075;0,2015;0,2152;0,2142;1,7;1,7
2017-08;1,5;-19,95;ok;-0,1;ok;S2+S1;12,841;12,631;12,511;12,96;12,775;0,2062;0,2153;0,2056;0,2122;0,247;1,6;1,9
2017-09;3,7;-19,54;ok;0,139;ok;S2+S1;12,926;11,04;11,007;12,959;11,372;0,1827;0,6331;0,6266;0,1858;0,7185;1,4;6,3
