datum;Pegelstand
2016-01;774,0129032
2016-02;774,082069
2016-03;769,4403226
2016-04;771,126
2016-05;776,0341935
2016-06;780,849
2016-07;780,6396774
2016-08;780,5774194
2016-09;780,4613333
2016-10;780,0577419
2016-11;779,1403333
2016-12;777,1677419
2017-01;773,1129032
2017-02;768,9678571
2017-03;770,5312903
2017-04;769,8266667
2017-05;776,54
2017-06;780,523
2017-07;780,6648387
2017-08;780,5758065
2017-09;780,575
2017-10;780,2654839
2017-11;779,3413333
2017-12;777,0667742
2018-01;777,9809677
2018-02;776,5553571
2018-03;767,4032258
2018-04;765,4063333
2018-05;765,4251613
2018-06;765,783
2018-07;770,4651613
2018-08;771,7245161
2018-09;776,245
2018-10;777,8216129
2018-11;776,5736667
2018-12;775,7090323
2019-01;776,0448387
2019-02;769,6346429
2019-03;768,8070968
2019-04;771,424
2019-05;778,1470968
2019-06;780,7873333
2019-07;780,5522581
2019-08;780,6025806
2019-09;780,4923333
2019-10;780,4625806
2019-11;779,7176667
2019-12;778,1996774
2020-01;776,96
2020-02;778,0372414
2020-03;775,8825806
2020-04;776,8176667
2020-05;778,6732258
2020-06;780,6216667
2020-07;780,5348387
2020-08;780,5745161
2020-09;780,4533333
2020-10;780,343871
2020-11;778,9293333
2020-12;775,5683871
2021-01;772,4341935
2021-02;772,195
2021-03;769,5767742
2021-04;772,0663333
2021-05;777,306129
2021-06;780,532
2021-07;780,7245161
2021-08;780,6806452
2021-09;780,479
2021-10;779,9409677
2021-11;777,4926667
2021-12;776,58
2022-01;777,1548387
2022-02;773,9003571
2022-03;773,1809677
2022-04;774,491
2022-05;779,0809677
2022-06;780,5986667
2022-07;780,4887097
2022-08;780,5829032
2022-09;780,506
2022-10;780,6416129
2022-11;779,395
2022-12;778,0648387
2023-01;777,29
2023-02;775,9496429
2023-03;777,1116129
2023-04;779,2836667
2023-05;780,3929032
2023-06;780,4936667
2023-07;780,6474194
2023-08;780,7870968
2023-09;780,5556667
2023-10;780,1119355
2023-11;780,2633333
2023-12;779,4445161
2024-01;777,3783871
2024-02;776,3748276
2024-03;773,8880645
2024-04;773,1753333
2024-05;779,0187097
2024-06;780,9403333
2024-07;780,5132258
2024-08;780,5235484
2024-09;780,5693333
2024-10;780,3164516
2024-11;779,6426667
2024-12;777,9987097
2025-01;777,6964516
2025-02;774,5846429
2025-03;772,9529032
2025-04;773,834
2025-05;777,5664516
2025-06;780,515
2025-07;780,756129
2025-08;780,52
2025-09;780,4683333
2025-10;780,2790323
2025-11;779,4813333
2025-12;777,5409677
