datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2016-01;14,1;-18,23;ok;0,207;ok;S2+S1;8,586;7,023;6,737;8,872;7,654;0,6961;1,1436;1,1758;0,6279;1,1056;7,1;14,4
2016-02;13,9;-18,61;ok;0,345;ok;S2+S1;8,996;6,87;6,634;9,231;8,777;0,6401;1,1838;1,1704;0,583;0,4585;6,3;5,2
2016-03;0,1;-17,71;ok;0,246;ok;S2+S1;5,336;4,172;3,826;5,682;4,179;0,8765;0,5119;0,4264;0,924;0,5123;16,3;12,3
2016-04;0,1;-18,41;ok;0,243;ok;S2+S1;6,428;6,412;6,124;6,716;6,423;0,4774;0,4842;0,4306;0,5042;0,4849;7,5;7,5
2016-05;9,4;-19,0;ok;0,383;ok;S2+S1;10,584;11,635;9,305;12,914;12,889;0,5874;0,6269;0,7244;0,446;0,4356;3,5;3,4
2016-06;51,9;-19,31;ok;0,375;ok;S1;13,666;6,498;6,263;13,901;13,666;0,3742;0,6832;0,6091;0,383;0,3742;2,8;2,7
2016-07;0,2;-19,41;ok;0,312;ok;S2+S1;13,625;13,824;13,567;13,882;13,839;0,3945;0,3417;0,3918;0,3392;0,3387;2,4;2,4
2016-08;1,7;-20,37;ok;0,375;ok;S2+S1;13,488;13,257;13,006;13,739;13,458;0,3714;0,4813;0,5075;0,3357;0,4295;2,4;3,2
2016-09;0,0;-20,35;ok;0,343;ok;S2+S1;13,507;12,431;12,244;13,694;12,431;0,3739;0,8673;0,8849;0,3429;0,8673;2,5;7,0
2016-10;14,0;-20,09;ok;0,48;ok;S2+S1;13,454;7,925;7,79;13,589;9,917;0,3602;1,84;1,8212;0,3544;1,0561;2,6;10,6
2016-11;0,4;-18,4;ok;0,39;ok;S2+S1;13,162;10,827;10,751;13,237;10,835;0,4452;0,9013;0,9136;0,4186;0,9061;3,2;8,4
2016-12;15,0;-20,58;ok;0,327;ok;S2+S1;11,325;9,495;8,895;11,925;11,621;0,4717;1,5402;1,3909;0,5735;0,7487;4,8;6,4
2017-01;97,2;-17,8;ok;0,255;ok;S1;7,138;0,028;0,018;7,148;7,138;2,1202;0,0263;0,0179;2,1266;2,1202;29,8;29,7
2017-02;33,8;-16,46;ok;0,253;ok;S2+S1;6,296;3,441;3,362;6,375;4,858;1,0579;0,3524;0,3537;1,0444;0,6172;16,4;12,7
2017-03;0,0;-18,6;ok;0,302;ok;S2+S1;6,376;5,774;5,634;6,517;5,775;0,4767;0,3885;0,3669;0,4934;0,3885;7,6;6,7
2017-04;0,4;-18,08;ok;0,326;ok;S2+S1;5,773;5,613;5,31;6,075;5,669;0,5093;0,4031;0,3876;0,5172;0,3881;8,5;6,8
2017-05;1,4;-19,39;ok;0,405;ok;S2+S1;11,502;11,818;11,094;12,226;12,022;0,4881;0,6214;0,642;0,4508;0,5814;3,7;4,8
2017-06;1,1;-20,17;ok;0,375;ok;S2+S1;13,519;13,637;13,298;13,858;13,767;0,3489;0,42;0,4324;0,3342;0,38;2,4;2,8
2017-07;0,2;-20,2;ok;0,453;ok;S2+S1;13,525;12,948;12,731;13,743;12,957;0,3449;0,757;0,7483;0,3399;0,7552;2,5;5,8
