datum;Pegelh�
2016-01;188
2016-02;192
2016-03;194
2016-04;195
2016-05;190
2016-06;187
2016-07;179
2016-08;174
2016-09;166
2016-10;161
2016-11;161
2016-12;163
2017-01;170
2017-02;172
2017-03;177
2017-04;178
2017-05;174
2017-06;170
2017-07;177
2017-08;179
2017-09;173
2017-10;174
2017-11;177
2017-12;181
2018-01;186
2018-02;189
2018-03;188
2018-04;192
2018-05;187
2018-06;177
2018-07;168
2018-08;155
2018-09;146
2018-10;140
2018-11;138
2018-12;140
2019-01;146
2019-02;151
2019-03;155
2019-04;155
2019-05;150
2019-06;151
2019-07;147
2019-08;137
2019-09;129
2019-10;131
2019-11;132
2019-12;133
2020-01;136
2020-02;141
2020-03;146
2020-04;143
2020-05;138
2020-06;136
2020-07;129
2020-08;118
2020-09;112
2020-10;110
2020-11;113
2020-12;112
2021-01;116
2021-02;122
2021-03;125
2021-04;125
2021-05;126
2021-06;120
2021-07;126
2021-08;124
2021-09;121
2021-10;117
2021-11;120
2021-12;122
2022-01;127
2022-02;131
2022-03;132
2022-04;131
2022-05;126
2022-06;120
2022-07;110
2022-08;100
2022-09;94
2022-10;92
2022-11;92
2022-12;94
2023-01;101
2023-02;106
2023-03;112
2023-04;117
2023-05;114
2023-06;106
2023-07;104
2023-08;101
2023-09;95
2023-10;92
2023-11;97
2023-12;107
2024-01;119
2024-02;128
2024-03;132
2024-04;134
2024-05;130
2024-06;126
2024-07;123
2024-08;119
2024-09;109
2024-10;106
2024-11;107
2024-12;112
2025-01;118
2025-02;122
2025-03;123
2025-04;122
2025-05;117
2025-06;111
2025-07;107
2025-08;107
2025-09;102
2025-10;98
2025-11;100
2025-12;103
