datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2016-01;100,0;-18,42;ok;;zu_wenig_pixel;S1;0,547;;;0,547;0,547;0,047;;;0,047;0,047;8,6;8,6
2016-02;37,6;-17,94;ok;0,04;ok;S2+S1;0,544;0,201;0,195;0,55;0,378;0,0476;0,0637;0,0623;0,0475;0,089;8,6;23,5
2016-03;100,0;-18,55;ok;;zu_wenig_pixel;S1;0,543;;;0,543;0,543;0,0466;;;0,0466;0,0466;8,6;8,6
2016-04;0,0;-18,17;ok;0,053;ok;S2+S1;0,543;0,56;0,536;0,567;0,56;0,047;0,0517;0,0515;0,0466;0,0517;8,2;9,2
2016-05;0,5;-18,14;ok;-0,122;ok;S2+S1;0,55;0,564;0,544;0,57;0,566;0,0467;0,0472;0,0473;0,0463;0,0467;8,1;8,3
2016-06;1,5;-18,84;ok;-0,229;ok;S2+S1;0,54;0,558;0,53;0,569;0,566;0,0474;0,0506;0,0499;0,0472;0,0484;8,3;8,6
2016-07;14,3;-18,19;ok;-0,106;ok;S2+S1;0,557;0,272;0,268;0,562;0,339;0,047;0,0671;0,0667;0,0467;0,0837;8,3;24,7
2016-08;4,9;-18,85;ok;-0,018;ok;S2+S1;0,541;0,524;0,504;0,56;0,553;0,0481;0,0649;0,0652;0,0467;0,048;8,3;8,7
2016-09;0,0;-18,68;ok;-0,171;ok;S2+S1;0,553;0,545;0,533;0,565;0,545;0,047;0,0479;0,0473;0,0468;0,0479;8,3;8,8
2016-10;100,0;-18,88;ok;;zu_wenig_pixel;S1;0,541;;;0,541;0,541;0,0471;;;0,0471;0,0471;8,7;8,7
2016-11;87,5;-18,66;ok;-0,302;unplausibel;S1;0,547;0,041;0,034;0,554;0,547;0,0469;0,0221;0,018;0,049;0,0469;8,8;8,6
2016-12;36,0;-18,59;ok;-0,152;ok;S2+S1;0,544;0,06;0,047;0,557;0,288;0,0466;0,051;0,0396;0,0503;0,163;9,0;56,6
2017-01;7,4;-18,94;ok;-0,173;ok;S2+S1;0,547;0,554;0,512;0,589;0,587;0,0466;0,0592;0,0532;0,05;0,0539;8,5;9,2
2017-02;0,0;-18,01;ok;-0,064;ok;S2+S1;0,543;0,583;0,543;0,583;0,583;0,0471;0,0469;0,047;0,0468;0,0469;8,0;8,0
2017-03;0,0;-18,5;ok;0,075;ok;S2+S1;0,542;0,555;0,536;0,56;0,555;0,0463;0,047;0,0463;0,0462;0,047;8,2;8,5
2017-04;0,0;-18,26;ok;-0,087;ok;S2+S1;0,542;0,574;0,538;0,578;0,574;0,047;0,05;0,0503;0,0462;0,05;8,0;8,7
2017-05;0,1;-18,54;ok;-0,178;ok;S2+S1;0,537;0,556;0,533;0,561;0,557;0,0467;0,0471;0,0472;0,0461;0,047;8,2;8,4
2017-06;0,4;-18,54;ok;-0,188;ok;S2+S1;0,544;0,557;0,54;0,561;0,559;0,0469;0,0469;0,0471;0,0465;0,0465;8,3;8,3
2017-07;1,1;-18,23;ok;-0,099;ok;S2+S1;0,553;0,553;0,538;0,567;0,557;0,0474;0,0468;0,0473;0,0463;0,0465;8,2;8,3
2017-08;1,0;-18,79;ok;-0,156;ok;S2+S1;0,54;0,555;0,534;0,561;0,559;0,0464;0,0475;0,047;0,0467;0,0476;8,3;8,5
2017-09;0,0;-18,96;ok;-0,066;ok;S2+S1;0,54;0,523;0,513;0,55;0,523;0,0467;0,0494;0,0486;0,0466;0,0494;8,5;9,4
2017-10;0,0;-18,36;ok;-0,161;ok;S2+S1;0,54;0,495;0,488;0,548;0,495;0,0469;0,0581;0,0564;0,0471;0,0581;8,6;11,7
2017-11;14,9;-18,21;ok;-0,3;ok;S2+S1;0,546;0,38;0,331;0,595;0,433;0,0462;0,1447;0,1333;0,0517;0,1579;8,7;36,5
2017-12;0,9;-18,15;ok;-0,004;ok;S2+S1;0,541;0,58;0,537;0,584;0,581;0,0464;0,0479;0,0477;0,0464;0,0486;7,9;8,4
2018-01;92,0;-18,11;ok;-0,172;ok;S1;0,544;0,035;0,032;0,548;0,544;0,0466;0,0197;0,0185;0,0477;0,0466;8,7;8,6
2018-02;0,0;-19,19;ok;-0,152;ok;S2+S1;0,543;0,575;0,54;0,578;0,575;0,0463;0,0486;0,0477;0,0467;0,0486;8,1;8,5
2018-03;0,0;-18,52;ok;-0,075;ok;S2+S1;0,545;0,565;0,542;0,568;0,565;0,0465;0,0464;0,0464;0,046;0,0464;8,1;8,2
2018-04;0,0;-18,88;ok;-0,132;ok;S2+S1;0,538;0,573;0,538;0,573;0,573;0,0462;0,0459;0,0462;0,0459;0,0459;8,0;8,0
2018-05;0,4;-18,83;ok;-0,216;ok;S2+S1;0,541;0,56;0,536;0,564;0,561;0,0468;0,047;0,0472;0,0465;0,0466;8,2;8,3
2018-06;0,7;-19,06;ok;-0,176;ok;S2+S1;0,54;0,551;0,533;0,558;0,554;0,0469;0,0469;0,0469;0,0464;0,0465;8,3;8,4
2018-07;0,2;-19,31;ok;-0,065;ok;S2+S1;0,536;0,549;0,53;0,555;0,549;0,0473;0,0465;0,0467;0,0468;0,0465;8,4;8,5
2018-08;0,8;-19,04;ok;-0,157;ok;S2+S1;0,548;0,55;0,535;0,563;0,553;0,0464;0,0466;0,0464;0,0464;0,0467;8,2;8,4
2018-09;0,0;-19,56;ok;-0,16;ok;S2+S1;0,537;0,551;0,532;0,556;0,551;0,0465;0,0466;0,0469;0,046;0,0466;8,3;8,5
2018-10;0,0;-19,39;ok;-0,06;ok;S2+S1;0,54;0,482;0,478;0,544;0,482;0,047;0,05;0,0491;0,047;0,05;8,6;10,4
2018-11;0,3;-19,3;ok;-0,147;ok;S2+S1;0,539;0,529;0,514;0,554;0,53;0,0466;0,0624;0,0597;0,0467;0,0604;8,4;11,4
2018-12;0,8;-18,69;ok;0,042;ok;S2+S1;0,537;0,347;0,334;0,55;0,351;0,0462;0,1249;0,1177;0,0478;0,1281;8,7;36,5
2019-01;2,7;-19,01;ok;-0,126;ok;S2+S1;0,539;0,22;0,216;0,543;0,225;0,0464;0,0961;0,0936;0,0472;0,1005;8,7;44,7
2019-02;0,0;-18,98;ok;0,029;ok;S2+S1;0,539;0,336;0,332;0,543;0,336;0,0458;0,1131;0,1112;0,046;0,1131;8,5;33,7
2019-03;0,0;-18,66;ok;0,03;ok;S2+S1;0,539;0,555;0,535;0,56;0,555;0,0466;0,047;0,0469;0,0463;0,047;8,3;8,5
2019-04;0,0;-18,74;ok;-0,053;ok;S2+S1;0,54;0,57;0,54;0,57;0,57;0,0464;0,0466;0,0464;0,0466;0,0466;8,2;8,2
2019-05;1,0;-19,1;ok;-0,118;ok;S2+S1;0,541;0,552;0,529;0,564;0,556;0,0475;0,0484;0,0485;0,0467;0,0487;8,3;8,8
2019-06;0,5;-19,0;ok;-0,151;ok;S2+S1;0,537;0,562;0,534;0,565;0,564;0,047;0,0475;0,0473;0,0469;0,0468;8,3;8,3
2019-07;1,0;-19,04;ok;-0,038;ok;S2+S1;0,541;0,551;0,534;0,558;0,554;0,0477;0,0465;0,0474;0,0465;0,0461;8,3;8,3
2019-08;2,0;-19,23;ok;-0,187;ok;S2+S1;0,545;0,555;0,531;0,569;0,565;0,0474;0,0482;0,0481;0,0468;0,047;8,2;8,3
2019-09;0,0;-19,44;ok;-0,129;ok;S2+S1;0,536;0,549;0,529;0,557;0,549;0,0472;0,0455;0,0466;0,0454;0,0455;8,2;8,3
2019-10;15,9;-19,25;ok;-0,243;ok;S2+S1;0,54;0,506;0,452;0,593;0,593;0,0475;0,0777;0,0708;0,0503;0,0506;8,5;8,5
2019-11;0,0;-18,84;ok;0,004;ok;S2+S1;0,54;0,503;0,495;0,549;0,503;0,0462;0,0604;0,0584;0,0466;0,0604;8,5;12,0
2019-12;0,0;-18,77;ok;-0,064;ok;S2+S1;0,538;0,568;0,536;0,57;0,568;0,0462;0,048;0,0464;0,0471;0,048;8,3;8,5
2020-01;0,0;-19,05;ok;0,069;ok;S2+S1;0,538;0,522;0,51;0,55;0,523;0,0462;0,0748;0,0713;0,047;0,0736;8,5;14,1
2020-02;0,0;-17,96;ok;-0,247;ok;S2+S1;0,545;0,548;0,522;0,571;0,548;0,0468;0,0692;0,0648;0,0482;0,0692;8,4;12,6
2020-03;0,0;-18,76;ok;0,021;ok;S2+S1;0,541;0,549;0,533;0,556;0,549;0,047;0,047;0,0469;0,0462;0,047;8,3;8,6
2020-04;0,0;-18,9;ok;-0,042;ok;S2+S1;0,538;0,567;0,538;0,568;0,567;0,0467;0,046;0,0466;0,0459;0,046;8,1;8,1
2020-05;0,4;-19,04;ok;-0,16;ok;S2+S1;0,54;0,545;0,523;0,562;0,546;0,0475;0,0516;0,0511;0,0467;0,052;8,3;9,5
2020-06;0,4;-19,11;ok;-0,135;ok;S2+S1;0,541;0,554;0,535;0,56;0,555;0,0474;0,0463;0,0472;0,0463;0,0461;8,3;8,3
2020-07;0,7;-19,19;ok;-0,047;ok;S2+S1;0,541;0,514;0,501;0,554;0,517;0,047;0,0548;0,054;0,0465;0,0565;8,4;10,9
2020-08;0,3;-19,27;ok;0,045;ok;S2+S1;0,538;0,515;0,505;0,548;0,516;0,0462;0,0504;0,0505;0,0459;0,0503;8,4;9,7
2020-09;0,0;-19,7;ok;-0,277;ok;S2+S1;0,53;0,549;0,525;0,554;0,549;0,0461;0,046;0,046;0,0459;0,046;8,3;8,4
2020-10;28,6;-19,15;ok;-0,291;ok;S2+S1;0,545;0,398;0,388;0,554;0,546;0,0472;0,0463;0,0458;0,0468;0,0493;8,4;9,0
2020-11;0,0;-19,05;ok;-0,129;ok;S2+S1;0,538;0,426;0,424;0,54;0,426;0,0466;0,082;0,081;0,0468;0,0821;8,7;19,3
2020-12;1,6;-19,13;ok;0,099;ok;S2+S1;0,534;0,551;0,522;0,563;0,557;0,0461;0,0826;0,0787;0,0477;0,0623;8,5;11,2
2021-01;0,2;-19,14;ok;-0,137;ok;S2+S1;0,537;0,537;0,512;0,563;0,537;0,0466;0,0901;0,0846;0,048;0,0903;8,5;16,8
2021-02;0,0;-18,73;ok;-0,137;ok;S2+S1;0,54;0,593;0,54;0,593;0,593;0,0468;0,0465;0,0468;0,0463;0,0465;7,8;7,8
2021-03;0,0;-19,27;ok;-0,005;ok;S2+S1;0,537;0,526;0,51;0,554;0,526;0,0462;0,0538;0,0534;0,0461;0,0538;8,3;10,2
2021-04;1,7;-18,83;ok;-0,035;ok;S2+S1;0,538;0,563;0,532;0,569;0,566;0,047;0,0465;0,0474;0,0455;0,046;8,0;8,1
2021-05;0,7;-18,62;ok;-0,088;ok;S2+S1;0,54;0,557;0,53;0,566;0,559;0,0469;0,0462;0,0467;0,0462;0,0463;8,2;8,3
2021-06;0,6;-19,13;ok;-0,102;ok;S2+S1;0,537;0,553;0,531;0,56;0,556;0,0469;0,0466;0,0469;0,0462;0,0462;8,2;8,3
2021-07;1,5;-18,9;ok;-0,058;ok;S2+S1;0,532;0,554;0,522;0,563;0,561;0,0475;0,0483;0,0492;0,0462;0,0469;8,2;8,4
2021-08;0,9;-19,06;ok;-0,028;ok;S2+S1;0,537;0,553;0,53;0,56;0,557;0,0471;0,0464;0,0472;0,0463;0,0463;8,3;8,3
